colonne,dtype,IQR,IDR
Inscrits,int64,401050.0,793988.8
Abstentions,float64,106489.0,193676.2
Votants,float64,301770.5,602687.2
Blancs,float64,4852.5,8845.8
Nuls,float64,1917.0,3240.6
Exprimés,float64,296870.5,590169.2
Voix,float64,1517.5,3015.6
Voix.1,float64,6264.5,13104.2
Voix.2,float64,101317.0,177340.2
Voix.3,float64,7999.5,13813.0
Voix.4,float64,63342.0,130094.6
Voix.5,float64,20638.5,43668.8
Voix.6,float64,60743.5,159421.2
Voix.7,float64,4779.0,10712.2
Voix.8,float64,14833.5,38190.8
Voix.9,float64,13265.5,27686.8
Voix.10,float64,2466.0,4266.6
Voix.11,float64,6146.5,12311.0
